iso_code,countryname,gdp_per_capita,population,deaths_rate,diagnosed_rate,fatality_rate,human_development_index,aged_65_older,population_density
UZB,Uzbekistan,6253.104,33935765,0.000036097609704687665064,0.00508292652309444033,0.00710173746181004447,0.72,4.469,76.134
VCT,Saint Vincent and the Grenadines,10727.146,111269,0.00016177012465286827,0.03018810270605469628,0.00535873771955939268,0.738,7.724,281.787
VEN,Venezuela,16745.022,28704947,0.00015370172953115015,0.01265635501783020188,0.01214423341590971649,0.711,6.614,36.253
VNM,Vietnam,6171.884,98168829,0.00019107898292236938,0.00780340366492504459,0.02448662034250983290,0.704,7.15,308.127
VUT,Vanuatu,2921.909,314464,0.000003180014246463824158,0.000012720056985855296632,0.25000000000000000000,0.609,4.394,22.662
WSM,Samoa,6021.557,200144,,0.000014989207770405308178,,0.715,5.606,69.413
YEM,Yemen,1479.147,30490639,0.000055853207930473349542,0.00029477899758020814,0.18947485536270583000,0.47,2.922,53.508
ZAF,South Africa,12294.876,60041996,0.00145258328853691007,0.04825823911650105703,0.03010021325125857587,0.709,5.344,46.754
ZMB,Zambia,3689.251,18920657,0.00019275229184694802,0.01103909869514573410,0.01746087222969640968,0.584,2.48,22.995
ZWE,Zimbabwe,1899.775,15092171,0.00030525760674193262,0.00860837052535384074,0.03546055619270468523,0.571,2.822,42.729
